text,source,claim_num,group,labeled_text
says george floyd appeared on judge judy.,politifact,292,3,__label__3 says george floyd appeared on judge judy.
old c-span footage of joe biden introducing man in blackface.,politifact,1101,3,__label__3 old c-span footage of joe biden introducing man in blackface.
us president trump wrote sen chuck schumer d new york a letter blaming the state's medical supply shortage amid an ongoing pandemic on impeachment proceedings against trump,snopes,771,0,__label__0 us president trump wrote sen chuck schumer d new york a letter blaming the state's medical supply shortage amid an ongoing pandemic on impeachment proceedings against trump
clearly the obama administration did not leave any kind of game plan for something like this,politifact,141,1,__label__1 clearly the obama administration did not leave any kind of game plan for something like this
if the coronavirus gets in your mouth drinking water or other liquids will wash them down through your esophagus and into the stomach once there in tummy  your stomach acid will kill all the virus,politifact,691,1,__label__1 if the coronavirus gets in your mouth drinking water or other liquids will wash them down through your esophagus and into the stomach once there in tummy  your stomach acid will kill all the virus
zoo animals were released during protests in chicago.,politifact,1210,3,__label__3 zoo animals were released during protests in chicago.
there was no real scientific basis for believing that social distancing would be necessary since it had never been studied,politifact,560,1,__label__1 there was no real scientific basis for believing that social distancing would be necessary since it had never been studied
says rudy giuliani bought $2m in shares of novartis a primary supplier of hydroxychloroquine in early february,politifact,139,1,__label__1 says rudy giuliani bought $2m in shares of novartis a primary supplier of hydroxychloroquine in early february
says photo shows that chick-fil-a distributed back the blue t-shirts to employees in response to recent protests over police brutality.,politifact,1185,3,__label__3 says photo shows that chick-fil-a distributed back the blue t-shirts to employees in response to recent protests over police brutality.
U.S. Sen. Mitt Romney endorsed 2020 Democratic presidential candidate Joe Biden.,snopes,1046,3,__label__3 U.S. Sen. Mitt Romney endorsed 2020 Democratic presidential candidate Joe Biden.
says nevada gov steve sisolak has banned the use of an anti malaria drug that might help cure coronavirus,politifact,224,1,__label__1 says nevada gov steve sisolak has banned the use of an anti malaria drug that might help cure coronavirus
photo shows packed beach of re opened jacksonville beach on cnn,politifact,582,1,__label__1 photo shows packed beach of re opened jacksonville beach on cnn
you weren't allowed to own a cannon during the revolutionary war as an individual.,politifact,274,3,__label__3 you weren't allowed to own a cannon during the revolutionary war as an individual.
a facebook post is correct in saying n95 masks surgical masks and cloth masks can be dangerous andor ineffective in protecting against the spread of covid 19 based on cdc and us occupational safety and health administration (osha) guidelines ,snopes,323,1,__label__1 a facebook post is correct in saying n95 masks surgical masks and cloth masks can be dangerous andor ineffective in protecting against the spread of covid 19 based on cdc and us occupational safety and health administration (osha) guidelines 
california has six extra congressional representatives because illegals are counted in the census.,politifact,1058,3,__label__3 california has six extra congressional representatives because illegals are counted in the census.
people describing themselves as red cross workers are knocking on doors of people's homes and selling what they claim are coronavirus home tests,snopes,409,1,__label__1 people describing themselves as red cross workers are knocking on doors of people's homes and selling what they claim are coronavirus home tests
the 2011 movie captain america predicted the coronavirus pandemic ,snopes,325,1,__label__1 the 2011 movie captain america predicted the coronavirus pandemic 
says 44 senators voted not to send stimulus checks,politifact,599,1,__label__1 says 44 senators voted not to send stimulus checks
new study: the flu vaccine is 'significantly associated' with an increased risk of coronavirus,politifact,299,1,__label__1 new study: the flu vaccine is 'significantly associated' with an increased risk of coronavirus
says the feds closed the courtroom when el chapo started naming democrats he paid off.,politifact,1236,3,__label__3 says the feds closed the courtroom when el chapo started naming democrats he paid off.
the chinese government is building a hospital in 10 days to deal with the new coronavirus,snopes,792,0,__label__0 the chinese government is building a hospital in 10 days to deal with the new coronavirus
regarding the risks of coronavirus transmission on an airplane its as safe as an environment as youre going to find,politifact,551,1,__label__1 regarding the risks of coronavirus transmission on an airplane its as safe as an environment as youre going to find
says bill murray said social media is training us to compare our lives ... no wonder why everyone is depressed.,politifact,1255,3,__label__3 says bill murray said social media is training us to compare our lives ... no wonder why everyone is depressed.
breaking: uk prepares for full lockdown after hundreds of new cases  wuhan super virus updates,politifact,721,1,__label__1 breaking: uk prepares for full lockdown after hundreds of new cases  wuhan super virus updates
this is 76 year old senile joe biden!!! that is a 15 year old girl with whom hes making out!!!,politifact,1221,3,__label__3 this is 76 year old senile joe biden!!! that is a 15 year old girl with whom hes making out!!!
in regards to reopening the economy during the covid 19 pandemic the former ceo of wells fargo stated well gradually bring those people back and see what happens some of them will get sick some may even die i dont know,snopes,778,0,__label__0 in regards to reopening the economy during the covid 19 pandemic the former ceo of wells fargo stated well gradually bring those people back and see what happens some of them will get sick some may even die i dont know
hair weave and lace fronts manufactured in china may contain the coronavirus,politifact,715,1,__label__1 hair weave and lace fronts manufactured in china may contain the coronavirus
small trials to test convalescent plasma therapy for coronavirus patients seem to have had some degree of success,politifact,839,0,__label__0 small trials to test convalescent plasma therapy for coronavirus patients seem to have had some degree of success
says video of body bags being dumped in a ditch shows the situation in italy due to the coronavirus,politifact,610,1,__label__1 says video of body bags being dumped in a ditch shows the situation in italy due to the coronavirus
"from the moment we passed that signature legislation, mike (bloomberg) called it a disgrace.",politifact,993,2,"__label__2 from the moment we passed that signature legislation, mike (bloomberg) called it a disgrace."
the covid 19 coronavirus pandemic caused a nationwide shortage of us coins in circulation during the summer of 2020,snopes,736,0,__label__0 the covid 19 coronavirus pandemic caused a nationwide shortage of us coins in circulation during the summer of 2020
the government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to h1n1 or ebola everyone needs to realize our government is up to something ,politifact,628,1,__label__1 the government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to h1n1 or ebola everyone needs to realize our government is up to something 
a kentucky couple were placed under house arrest in july 2020 after a woman diagnosed with covid 19 refused to agree to self isolate because it would require her to get prior approval to go to the hospital,snopes,730,0,__label__0 a kentucky couple were placed under house arrest in july 2020 after a woman diagnosed with covid 19 refused to agree to self isolate because it would require her to get prior approval to go to the hospital
"says barack obama signed the law authorizing federal agents to snatch protesters off the streets in portland, ore.",politifact,1093,3,"__label__3 says barack obama signed the law authorizing federal agents to snatch protesters off the streets in portland, ore."
covid 19s contagion probability between two people is 70 if the carrier is not masked 5 if the carrier is masked and 15 if both parties are,politifact,479,1,__label__1 covid 19s contagion probability between two people is 70 if the carrier is not masked 5 if the carrier is masked and 15 if both parties are
while all covid 19 news has been going on the us government has been sneakily trying to remove end to end encryption which means the government will be able to see all of your messages and listen to all of your calls,politifact,617,1,__label__1 while all covid 19 news has been going on the us government has been sneakily trying to remove end to end encryption which means the government will be able to see all of your messages and listen to all of your calls
says a photo shows an elephant carrying a lion cub to a pool of water so it wouldnt die.,politifact,1326,3,__label__3 says a photo shows an elephant carrying a lion cub to a pool of water so it wouldnt die.
the us department of justice issued a card that exempts holders from wearing face masks on the grounds that it poses a health risk to them due to medical conditions they aren't required to disclose by authority of the americans with disabilities act (ada),snopes,321,1,__label__1 the us department of justice issued a card that exempts holders from wearing face masks on the grounds that it poses a health risk to them due to medical conditions they aren't required to disclose by authority of the americans with disabilities act (ada)
A news reporter in Florida was diagnosed with cancer after a viewer spotted a lump in her throat during a broadcast. ,snopes,885,2,__label__2 A news reporter in Florida was diagnosed with cancer after a viewer spotted a lump in her throat during a broadcast. 
says amber alerts are issued for white kids but not black kids in milwaukee.,politifact,1113,3,__label__3 says amber alerts are issued for white kids but not black kids in milwaukee.
A photograph shows a traffic sign that was altered to show a fist raised in protest. ,snopes,898,2,__label__2 A photograph shows a traffic sign that was altered to show a fist raised in protest. 
Alaska Airlines is offering a chance to win two free tickets to users who complete a survey. ,snopes,1048,3,__label__3 Alaska Airlines is offering a chance to win two free tickets to users who complete a survey. 
"says photo of beaten woman is aracely henriquez, a pregnant woman who george floyd assaulted during an armed robbery.",politifact,1179,3,"__label__3 says photo of beaten woman is aracely henriquez, a pregnant woman who george floyd assaulted during an armed robbery."
photo shows wayfair president of operations bill hutcherson with ghislaine maxwell.,politifact,39,3,__label__3 photo shows wayfair president of operations bill hutcherson with ghislaine maxwell.
during the flu pandemic of 1918 some cities lifted social distancing measures too fast too soon and created a second wave of pandemic,politifact,30,0,__label__0 during the flu pandemic of 1918 some cities lifted social distancing measures too fast too soon and created a second wave of pandemic
texas lt gov dan patrick said covid 19 social distancing restrictions should be eased because there are more important things than living,snopes,242,0,__label__0 texas lt gov dan patrick said covid 19 social distancing restrictions should be eased because there are more important things than living
melinda gates said black people should be first in line after health care workers to be vaccinated against covid 19,snopes,739,0,__label__0 melinda gates said black people should be first in line after health care workers to be vaccinated against covid 19
says mark zuckerberg's real name is jacob greenberg and hes the grandson of billionaire david rockefeller.,politifact,1079,3,__label__3 says mark zuckerberg's real name is jacob greenberg and hes the grandson of billionaire david rockefeller.
now as it stands our health care system has adequate ventilators icu beds medical professionals,politifact,136,1,__label__1 now as it stands our health care system has adequate ventilators icu beds medical professionals
all businesses in the us are required to accept coins andor currency as payment,snopes,310,1,__label__1 all businesses in the us are required to accept coins andor currency as payment
"the national coin shortage was done intentionally, the mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money.",politifact,1128,3,"__label__3 the national coin shortage was done intentionally, the mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money."
nigerians are burning chinese stores,politifact,584,1,__label__1 nigerians are burning chinese stores
says donald trump used farmers struggles to push through a multi billion dollar bailout program that was nothing more than a handout for large agricultural companies,politifact,478,1,__label__1 says donald trump used farmers struggles to push through a multi billion dollar bailout program that was nothing more than a handout for large agricultural companies
"says a new law adopted in texas means property tax bills are no longer really dependent on your values, it is on (local government) revenue growth.",politifact,1195,3,"__label__3 says a new law adopted in texas means property tax bills are no longer really dependent on your values, it is on (local government) revenue growth."
"if president trump decides to deploy the u.s. military domestically, he would be mobilizing u.s. military troops on american soil for the first time since 1807.",politifact,1209,3,"__label__3 if president trump decides to deploy the u.s. military domestically, he would be mobilizing u.s. military troops on american soil for the first time since 1807."
"mitt romneys father u.s. senator george romney, was a liberal republican who had ties to saul alinsky, yes, the same dude who wrote the book, rules for radicals and dedicated to satan.",politifact,1343,3,"__label__3 mitt romneys father u.s. senator george romney, was a liberal republican who had ties to saul alinsky, yes, the same dude who wrote the book, rules for radicals and dedicated to satan."
"A group calling itself ""Antifa America"" threatened to ""take what's ours"" from the suburbs in May 2020 after rioting in the nation's major cities in protest of the death of a black man in police custody.",snopes,1029,3,"__label__3 A group calling itself ""Antifa America"" threatened to ""take what's ours"" from the suburbs in May 2020 after rioting in the nation's major cities in protest of the death of a black man in police custody."
"says george soros said, im going to bring down the united states by funding black hate groups. well put them into a mental trap and make them blame white people. the black community is the easiest to manipulate.",politifact,3,3,"__label__3 says george soros said, im going to bring down the united states by funding black hate groups. well put them into a mental trap and make them blame white people. the black community is the easiest to manipulate."
vegetarians are unaffected by covid 19 because the virus is passed on through eating meat ,snopes,111,1,__label__1 vegetarians are unaffected by covid 19 because the virus is passed on through eating meat 
alexandria ocasio-cortez votes with president trump more than abigail spanberger does.,politifact,925,2,__label__2 alexandria ocasio-cortez votes with president trump more than abigail spanberger does.
californias registered independent voters will not be able to vote republican come 2020.,politifact,1167,3,__label__3 californias registered independent voters will not be able to vote republican come 2020.
bloomberg says he wants to ban guns holding more than three rounds.,politifact,1312,3,__label__3 bloomberg says he wants to ban guns holding more than three rounds.
A photograph shows Adolf Hitler holding a bible in a crowd. ,snopes,1034,3,__label__3 A photograph shows Adolf Hitler holding a bible in a crowd. 
says imposters in hazmat suits are going door to door in stockton calif saying they are checking residents for fever or covid 19 but they will enter your home and physically attempt robbery,politifact,650,1,__label__1 says imposters in hazmat suits are going door to door in stockton calif saying they are checking residents for fever or covid 19 but they will enter your home and physically attempt robbery
"80% of the american people support our dreamers. over 70% think they should have a path to citizenship, and that's democrats, republicans, independents.",politifact,939,2,"__label__2 80% of the american people support our dreamers. over 70% think they should have a path to citizenship, and that's democrats, republicans, independents."
michigan gov gretchen whitmer banned the sale or purchase of american flags during the covid 19 pandemic ,snopes,376,1,__label__1 michigan gov gretchen whitmer banned the sale or purchase of american flags during the covid 19 pandemic 
protesters broke into the white house.,politifact,1219,3,__label__3 protesters broke into the white house.
says sen thom tillis doesnt think restaurant workers should have to wash their hands,politifact,453,1,__label__1 says sen thom tillis doesnt think restaurant workers should have to wash their hands
"under joe bidens policy, immigrants in the country illegally get welfare benefits. united states citizens don't get what they're looking to give illegal immigrants.",politifact,1107,3,"__label__3 under joe bidens policy, immigrants in the country illegally get welfare benefits. united states citizens don't get what they're looking to give illegal immigrants."
us president donald trump tweeted that south dakota should close its border with california,snopes,314,1,__label__1 us president donald trump tweeted that south dakota should close its border with california
rapper eminem was the first celebrity to be diagnosed with new coronavirus in february 2020 ,snopes,439,1,__label__1 rapper eminem was the first celebrity to be diagnosed with new coronavirus in february 2020 
mark kelly criticized the (paycheck protection program) then turned around and took money for his own multi million dollar company,politifact,442,1,__label__1 mark kelly criticized the (paycheck protection program) then turned around and took money for his own multi million dollar company
"nine antifa members arrested in portland, ore.",politifact,1096,3,"__label__3 nine antifa members arrested in portland, ore."
on june 25 2020 at a campaign event in pennsylvania democratic presidential candidate joe biden incorrectly said 120 million people had died of the covid 19 coronavirus disease,snopes,319,1,__label__1 on june 25 2020 at a campaign event in pennsylvania democratic presidential candidate joe biden incorrectly said 120 million people had died of the covid 19 coronavirus disease
it has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,politifact,852,0,__label__0 it has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package
says rival jill karofsky wants to disarm law abiding citizens.,politifact,1260,3,__label__3 says rival jill karofsky wants to disarm law abiding citizens.
dr fauci: no reason to be wearing a mask,politifact,5,1,__label__1 dr fauci: no reason to be wearing a mask
says joe biden called antifa courageous americans.,politifact,100,3,__label__3 says joe biden called antifa courageous americans.
if you can hold your breath without coughing discomfort stiffness or tightness your lungs do not suffer from fibrosis and therefore you have no covid 19 infection ,snopes,424,1,__label__1 if you can hold your breath without coughing discomfort stiffness or tightness your lungs do not suffer from fibrosis and therefore you have no covid 19 infection 
kids are less likely to get it (covid 19) you know theyre less likely to spread so i think theres some pretty good data out there that will help alleviate some of the concerns,politifact,803,0,__label__0 kids are less likely to get it (covid 19) you know theyre less likely to spread so i think theres some pretty good data out there that will help alleviate some of the concerns
says bernie sanders would go beyond reform and reorder the economy in ways most democrats  let alone most americans  dont support.,politifact,1311,3,__label__3 says bernie sanders would go beyond reform and reorder the economy in ways most democrats  let alone most americans  dont support.
the chinese communist party is using zoom as a way to spy on our citizens,politifact,624,1,__label__1 the chinese communist party is using zoom as a way to spy on our citizens
1977: biden said integrating black students would turn schools into a jungle_Â¦ a racial jungle.,politifact,937,2,__label__2 1977: biden said integrating black students would turn schools into a jungle_Â¦ a racial jungle.
taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs ,snopes,423,1,__label__1 taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs 
A photograph shows former U.S. President Barack Obama and first lady Michelle Obama marching with protesters in June 2020. ,snopes,1024,3,__label__3 A photograph shows former U.S. President Barack Obama and first lady Michelle Obama marching with protesters in June 2020. 
a video clip shows former president barack obama stressing the need for us pandemic preparedness in 2014,snopes,767,0,__label__0 a video clip shows former president barack obama stressing the need for us pandemic preparedness in 2014
says the us is developing an antivirus that includes a chip to track your movement,politifact,636,1,__label__1 says the us is developing an antivirus that includes a chip to track your movement
hillary clinton is on trial for bengazi (sic) this week.,politifact,1187,3,__label__3 hillary clinton is on trial for bengazi (sic) this week.
"The TV show ""The Simpsons"" predicted the death of George Floyd. ",snopes,1032,3,"__label__3 The TV show ""The Simpsons"" predicted the death of George Floyd. "
says nancy pelosi called social security recipients leeches and burdens on society.,politifact,227,3,__label__3 says nancy pelosi called social security recipients leeches and burdens on society.
"says gary peters fought against funding for the va, veterans housing programs, military pay raises, and health care and research for veterans and their families. he also fought against funding for processing veterans disability claims.",politifact,1125,3,"__label__3 says gary peters fought against funding for the va, veterans housing programs, military pay raises, and health care and research for veterans and their families. he also fought against funding for processing veterans disability claims."
coronavirus hoax: fake virus pandemic fabricated to cover up global outbreak of 5g syndrome,politifact,697,1,__label__1 coronavirus hoax: fake virus pandemic fabricated to cover up global outbreak of 5g syndrome
sanders medicare for all plan would cost more than the entire federal budget that we spend now.,politifact,1335,3,__label__3 sanders medicare for all plan would cost more than the entire federal budget that we spend now.
the cdc tried to develop clear guidelines about what the stages of re opening should look like  the administration delayed and scaled them back,politifact,807,0,__label__0 the cdc tried to develop clear guidelines about what the stages of re opening should look like  the administration delayed and scaled them back
obesity is like the no 1 factor in whether you really get hit hard by covid 19,politifact,66,0,__label__0 obesity is like the no 1 factor in whether you really get hit hard by covid 19
we are currently using only around 20% of our testing capacity.,politifact,962,2,__label__2 we are currently using only around 20% of our testing capacity.
infection rates in allegany cattaraugus and chautauqua counties have consistently been among the lowest in the state,politifact,813,0,__label__0 infection rates in allegany cattaraugus and chautauqua counties have consistently been among the lowest in the state
80 of the people want the option of vote by mail,politifact,211,0,__label__0 80 of the people want the option of vote by mail
"white busses marked soros riot dance squad spotted in michigan: its official, the riots are staged.",politifact,1204,3,"__label__3 white busses marked soros riot dance squad spotted in michigan: its official, the riots are staged."
says democrats are on vacation until may 4 and refuse to come back to sign a bill to help small businesses,politifact,588,1,__label__1 says democrats are on vacation until may 4 and refuse to come back to sign a bill to help small businesses
Asheville police officers destroyed a medic tent and its supplies while enforcing a curfew during a protest against police brutality.,snopes,903,2,__label__2 Asheville police officers destroyed a medic tent and its supplies while enforcing a curfew during a protest against police brutality.
"and i heard that just yesterday, joe biden said that well-armed police in his words become the enemy and he said that he would absolutely cut funding for law enforcement.",politifact,1115,3,"__label__3 and i heard that just yesterday, joe biden said that well-armed police in his words become the enemy and he said that he would absolutely cut funding for law enforcement."
"during protests outside the white house, mayor muriel bowser wouldn't let the d.c. police get involved.",politifact,1216,3,"__label__3 during protests outside the white house, mayor muriel bowser wouldn't let the d.c. police get involved."
violent crime in south bend doubled during mayor petes tenure.,politifact,1309,3,__label__3 violent crime in south bend doubled during mayor petes tenure.
2008 nobel prize winner luc montagnier said that covid 19 coronavirus disease was artificially created in a lab by biologists working on an aids vaccine,snopes,752,0,__label__0 2008 nobel prize winner luc montagnier said that covid 19 coronavirus disease was artificially created in a lab by biologists working on an aids vaccine
guess what [children are] not at risk unless they have an underlying medical issue,politifact,543,1,__label__1 guess what [children are] not at risk unless they have an underlying medical issue
george floyds death and the ensuing protests were planned to introduce martial law and purge the united states.,politifact,1217,3,__label__3 george floyds death and the ensuing protests were planned to introduce martial law and purge the united states.
photo shows a crowded new york city subway train during stay at home order,politifact,858,0,__label__0 photo shows a crowded new york city subway train during stay at home order
"swing state hit with 2020 voting lawsuit - accused of registering over 1,500 deceased people in pennsylvania.",politifact,1263,3,"__label__3 swing state hit with 2020 voting lawsuit - accused of registering over 1,500 deceased people in pennsylvania."
"A photograph shows President Obama, Dr. Anthony Fauci, and Melinda Gates at a laboratory in Wuhan, China, in 2015. ",snopes,1007,3,"__label__3 A photograph shows President Obama, Dr. Anthony Fauci, and Melinda Gates at a laboratory in Wuhan, China, in 2015. "
the world health organization offered the testing kits that they have available and to give it to us now we refused them we did not want to buy them,politifact,273,1,__label__1 the world health organization offered the testing kits that they have available and to give it to us now we refused them we did not want to buy them
nc liquor stores were deemed essential because we have a lot of people who are chemically dependent on alcohol and if we suddenly cut off their access they would go into withdrawal and flood the emergency rooms,politifact,594,1,__label__1 nc liquor stores were deemed essential because we have a lot of people who are chemically dependent on alcohol and if we suddenly cut off their access they would go into withdrawal and flood the emergency rooms
nancy pelosi visited wuhan china in november 2019 just a month before the covid 19 outbreak there,snopes,362,1,__label__1 nancy pelosi visited wuhan china in november 2019 just a month before the covid 19 outbreak there
obama ordered cia to train isis jihadists,politifact,2,3,__label__3 obama ordered cia to train isis jihadists
drinking boiled garlic water will cure covid 19,snopes,6,1,__label__1 drinking boiled garlic water will cure covid 19
a 2007 study showed burning sage kills 94 of bacteria,snopes,311,1,__label__1 a 2007 study showed burning sage kills 94 of bacteria
"a declaration of disaster, has been issued for the state of texas. house bill 1177 allows any texan who can legally own a firearm to carry their handgun, open or concealed, for a full week after a state or natural disaster is declared.",politifact,1196,3,"__label__3 a declaration of disaster, has been issued for the state of texas. house bill 1177 allows any texan who can legally own a firearm to carry their handgun, open or concealed, for a full week after a state or natural disaster is declared."
text on a government website for the strategic national stockpile was altered after jared kushner's remarks during an april 2020 press conference ,snopes,770,0,__label__0 text on a government website for the strategic national stockpile was altered after jared kushner's remarks during an april 2020 press conference 
"quotes kamala harris as saying: after we impeach, we round up the trump supporters.",politifact,1334,3,"__label__3 quotes kamala harris as saying: after we impeach, we round up the trump supporters."
says the nih 15 years ago published a study on chloroquine it is effective against covid (1),politifact,215,1,__label__1 says the nih 15 years ago published a study on chloroquine it is effective against covid (1)
says joni ernst claims she pushed for new funding for hospitals and covid 19 testing after opposing it for weeks,politifact,820,0,__label__0 says joni ernst claims she pushed for new funding for hospitals and covid 19 testing after opposing it for weeks
"says bernie sanders collaborated with marxist regimes in the soviet union, nicaragua and cuba.",politifact,27,3,"__label__3 says bernie sanders collaborated with marxist regimes in the soviet union, nicaragua and cuba."
"cops in norway: require 3 years of training, 4 people killed since 2002. cops in finland: require 2 years of training, 7 people killed since 2000. cops in iceland: require 2 years of training, 1 person killed since ever. cops in the u.s.: require 21 weeks of training, 8,000+ people killed since 2001.",politifact,944,2,"__label__2 cops in norway: require 3 years of training, 4 people killed since 2002. cops in finland: require 2 years of training, 7 people killed since 2000. cops in iceland: require 2 years of training, 1 person killed since ever. cops in the u.s.: require 21 weeks of training, 8,000+ people killed since 2001."
says a photo shows a man wearing a government issue saint laurent hazardous materials suit,politifact,710,1,__label__1 says a photo shows a man wearing a government issue saint laurent hazardous materials suit
"if protesters blocking the road start banging on your windows, threatening you and trying to get in your vehicle, it is legal to hit the gas and plow through them.",politifact,1206,3,"__label__3 if protesters blocking the road start banging on your windows, threatening you and trying to get in your vehicle, it is legal to hit the gas and plow through them."
says video shows the chinese are destroying the 5g poles as they are aware that it is the thing triggering the corona symptoms,politifact,621,1,__label__1 says video shows the chinese are destroying the 5g poles as they are aware that it is the thing triggering the corona symptoms
coronavirus  22 clintons  39,politifact,679,1,__label__1 coronavirus  22 clintons  39
the coronavirus was invented and patented in the usa and then planted in china,politifact,695,1,__label__1 the coronavirus was invented and patented in the usa and then planted in china
people of color may be immune to the coronavirus because of melanin,politifact,256,1,__label__1 people of color may be immune to the coronavirus because of melanin
the white house gift shop is selling coronavirus commemorative coins ,snopes,25,1,__label__1 the white house gift shop is selling coronavirus commemorative coins 
an anonymous person witnessed democratic legislators in washington dc giddy over the economic fallout during the covid 19 coronavirus disease pandemic,snopes,336,1,__label__1 an anonymous person witnessed democratic legislators in washington dc giddy over the economic fallout during the covid 19 coronavirus disease pandemic
"joe biden said, the things i did while in elected office should not be made public while i am seeking a higher public office.",politifact,47,2,"__label__2 joe biden said, the things i did while in elected office should not be made public while i am seeking a higher public office."
video shows seattle police in uniform vandalizing a building to frame protesters.,politifact,106,3,__label__3 video shows seattle police in uniform vandalizing a building to frame protesters.
says donald trump got exposed for raping a 13-year-old in retaliation for law enforcement officers killing black people.,politifact,1205,3,__label__3 says donald trump got exposed for raping a 13-year-old in retaliation for law enforcement officers killing black people.
the obama administration made a decision on testing that turned out to be very detrimental to what were doing on the coronavirus,politifact,55,1,__label__1 the obama administration made a decision on testing that turned out to be very detrimental to what were doing on the coronavirus
for coronavirus cases in the us 38 of those hospitalized are under 35,politifact,665,1,__label__1 for coronavirus cases in the us 38 of those hospitalized are under 35
new york times editor admits biden sexual assault story was censored at behest of biden campaign,politifact,213,1,__label__1 new york times editor admits biden sexual assault story was censored at behest of biden campaign
the confederacy was more about states rights than slavery.,politifact,120,3,__label__3 the confederacy was more about states rights than slavery.
a picture shows a person holding a sacrifice the weak sign at a rally urging the state of tennessee to re start its economy amid covid 19 lockdown orders,snopes,754,0,__label__0 a picture shows a person holding a sacrifice the weak sign at a rally urging the state of tennessee to re start its economy amid covid 19 lockdown orders
tea is allowing online learning with attendance stipulations but will not fund school districts if they do not open their schools...if schools do not open and are not funded there will be no more teachers or school at all.,politifact,922,2,__label__2 tea is allowing online learning with attendance stipulations but will not fund school districts if they do not open their schools...if schools do not open and are not funded there will be no more teachers or school at all.
if you ask amazons alexa about the origin of the coronavirus pandemic it says the government planned it,politifact,72,1,__label__1 if you ask amazons alexa about the origin of the coronavirus pandemic it says the government planned it
says president donald trump will announce that a scientist finally found vaccine to cure corona virus,politifact,643,1,__label__1 says president donald trump will announce that a scientist finally found vaccine to cure corona virus
"wisconsin is run by democrats right now, so they should address election social distancing concerns.",politifact,1256,3,"__label__3 wisconsin is run by democrats right now, so they should address election social distancing concerns."
hurricane hanna hitting texas has blown over part of a border wall.,politifact,45,3,__label__3 hurricane hanna hitting texas has blown over part of a border wall.
"in 1962, joe biden worked with segregationists, elizabeth warren debated as a pro-vietnam conservative while bernie sanders organized against segregation and vietnam war",politifact,1291,3,"__label__3 in 1962, joe biden worked with segregationists, elizabeth warren debated as a pro-vietnam conservative while bernie sanders organized against segregation and vietnam war"
