,id,tweet,label
41,42,Says CDC says survive surfaces 17 days.,fake
42,43,"The Chinese announced ""garlic preventative food novel coronavirus.""",fake
43,44,Flood Hit Areas Pretend To Have Coronavirus In Bid To Get Government's Attention https://t.co/NKpkH0cY0Z,fake
44,45,"@Dianes_Bucket @arkless_kevin @ReeeeSpectWalk @ftwrharry @wolfiecindy 'Spanish Flu' propaganda cover millions soldiers died military vaccines, WWI war trauma, radiation effects hysteria (lots Aspirin overdose thought protect them).",fake
45,46,"🤝 As business continue adapt services wake covid-19, SWA Hand Sanitiser Portal available sourcing #handsanitiser ethanol producing sanitiser. 🖊️ Complete details suppliers here: https://t.co/b7uLQbfQLz https://t.co/5qJQ5h8w6l",fake
47,48,Hydroxychloroquine. The cure. How fast does end start feeling better soon 5 hours?,fake
48,49,"SUBHAN ALLAH: AFTER CORONA VIRUS CHINA GOVT LIFTED BAN ON HOLY QURAN & ALLOWED CHINESE MUSLIMS TO READ THEIR SACRED BOOK! ""SO WHICH OF THE FAVORS OF YOUR LORD WOULD YOU DENY?""",fake
50,51,A video claiming bodies packed body bags dumped mass graves Italy Spain.,fake
51,52,Indian Army built 1000-bed Rajasthan treatment COVID-19.,fake
52,53,There 100 years,fake
53,54,???Florida reports ???infestation??? multiple confirmed patients.??�,fake
54,55,Muslim Doctor died treating Delhi,fake
55,56,"As tuberculosis shaped modernism, COVID-19 collective experience staying inside end influence architecture’s near future, @chaykak writes. https://t.co/ag34yZckbU",fake
57,58,A WhatsApp forward gone viral claimed discovered. The viral forward claims treatment mentioned India's Intermediate Zoology book.,fake
60,61,Several media users claimed massive crowd Bangalore’s KR Market occasion Varamahalaxmi flouting norms. This claim misleading. A 2019 video passed recent one. #COVID19 #Bangalore https://t.co/my7CtZKGD5,fake
62,63,"""Sanitizer coronavirus.""",fake
64,65,The dangerous flu diseases death rate air pollution bad hygienic conditions Italian hospitals (hospital germs) responsible death 5% population endangered COVID-19.,fake
65,66,NEWS! Lockdown lasted long children shoes twice https://t.co/AeE1bpQphG https://t.co/zlMPEyqG0J,fake
67,68,Quotes Joe Biden saying “people died dying coronavirus.”,fake
71,72,Approval Ayush Ministey. Time particular lobby buy bournol 😷😷😷😷😷😷,fake
72,73,Facebook compares deaths Italy pandemie deaths seasonal flu outbursts 2014 2017. The says 2014 seasonal flu outburst 375 000 died Italy real problem deaths compared aren't serious.,fake
78,79,"Tablik Jamaat Chief Maulana Saad: ""If 70000 India destroyed. The country possession.""",fake
79,80,Hand dryers effective killing coronavirus. #WhatsAppForwards true; misleading false satire. Don't believe see. Verify sharing #Newschecker make #MainBhiNewschecker signature. https://t.co/YB5ed7exEV,fake
81,82,Maine governor mandates dog cone wearing restaurant staff instead https://t.co/PN9bWrK3gP #coronavirus #josephbiden,fake
85,86,Photo shows meeting Turkish died COVID-19 child Munich.,fake
89,90,18 states including US UK Australia request PM Modi head task force stop coronavirus.,fake
91,92,We fact-checked range statements second night #DNC2020. Here highlights dealing case numbers #TrumpAdministration’s position #ACA. https://t.co/bKhYJteUmf,fake
92,93,White House launches Trump-branded medicine.,fake
93,94,Video Tabligi pilgrims moving trucks spread COVID-19 India.,fake
94,95,Cold weather kill coronavirus. No wait. Hot weather kill corona. Did fall contradictory hoaxes? Don't fall fake &amp; misinformation. Participate #MainBhiNewschecker initiative &amp; fight infodemic together. #CoronavirusFacts https://t.co/6vi1gzKVsA,fake
96,97,Beware Of A Donald Trump Vaccine https://t.co/RkjO91lleP #jaredkushner #billbarr,fake
101,102,_A new created US scientists ready use Sunday._,fake
102,103,@htTweets NOT For But prevent age 65 Consult Doctors Pneumococcal conjugate PCV13 Pneumococcal polysaccharide PPSV23 I useful wife https://t.co/zQ4uy0f5GV,fake
104,105,Lockdown 2020 Survival Juice Get &gt;&gt;&gt; https://t.co/K4EAwKiOnO https://t.co/3vDTYsqBWe,fake
111,112,???You suicide rates skyrocketing now?????�,fake
113,114,WHY CENSOR HER? Dr. Li Meng Yan claims BIO-engineered Red C... https://t.co/TqScC5sWyH @YouTube,fake
116,117,Drinking tea hot water kills virus; lemon slices warm water save life; it's recommended money sealed plastic bag; conspiracy theory suggests China benefiting pandemic; vinegar good cleaning hands.,fake
118,119,"#coronavirus ""You buy these"" ""They totally useless"" Chinese Yuan just merely paper trash. #china #coronavirus #economy #wuhan https://t.co/p2CZbZkrsD",fake
119,120,"A tweet President Donald Trump says, U.S. issues financial assistance deal pandemic, ""we media history 4 years search #NotMyP...",fake
122,123,A video claims Bill Gates presentation CIA COVID-19 vaccines modifying brain religious fanatics.,fake
128,129,"???Due large number refuse forthcoming COVID-19 include tracking microchips, Gates Foundation spending billions ensure medical dental injections procedures include chips.??�",fake
131,132,Audio WhatsApp head Cardiology Gregorio Marañón Hospital states moment uncontrolled infection.,fake
133,134,Man Has Gone To Live In Parallel Universe https://t.co/oujWjz9aVa #alcohol #coronavirus #whisky,fake
134,135,The alternative medicine practitioner's guide https://t.co/ppywxWHfpU,fake
135,136,"Italy ???went WHO's ???law?????� COVID-19 autopsies ???discovered virus, bacterium??� ???clots blood reduces oxygen saturation.??�",fake
136,137,Post claims sister Bharatiya Janata Party leader Kapil Mishra married Muslim man,fake
138,139,A shared 160000 times Facebook novel says Bill Gates wants “digital tattoos” check asks “like holocaust victims have.”,fake
140,141,Meditate Your Way Through Covid 19 With Tracy Honeycomb #covid_19 https://t.co/JvSzWGsLbX,fake
141,142,A photo lying street accompanied caption implying victims China.,fake
143,144,A viral video shows doctors airing unproven conspiracy theories coronavirus. One inaccurate claims comes Dr. Stella Immanuel track record making bizarre medical claims believing alien DNA. https://t.co/vIH89dohRh,fake
152,153,"???Joe Biden Democrats want prosecute Americans going church, burning church.??�",fake
153,154,"Dr. Anthony Fauci ""has known 15 years chloroquine ??? hydroxychloroquine treat current case prevent future cases.??�",fake
154,155,"There ???360,000 (deaths) swimming pools. But don???t shut country that.??�",fake
155,156,"An inmate released prison COVID-19 ""humanitarian house arrests"" arrested Campo Bom. Police officers 100 kg cocaine house guns.",fake
158,159,A cold flu COVID-19,fake
159,160,Claim: The ‘Fund Funds’ #COVID19 stimulus mobilise equity ~Rs 50000 cr MSMEs Fact: A similar fund set 2016 mobilise Rs 60000 cr start-ups disbursed 6% planned https://t.co/wF9lG2PM0F,fake
160,161,Detainees Mpimba central prison Burundi died COVID-19 contracted coronavirus.,fake
163,164,Bechara Covid19 se hai nice acceptance speech. Dad https://t.co/8yZfJ0TK6V https://t.co/3rnfijiwOb,fake
164,165,"Says ""the engineered scientists lab.""",fake
167,168,Video press conference said,fake
168,169,5G cause pandemic.,fake
169,170,@globaltimesnews It doesn’t effect randians coz CowUrine cure🐄💦💁🏿‍♂️ bad smell tackle COVID-19 Cow-dung,fake
174,175,Opening ceremony 2012 London Olympics projection pandemic. The beds apperaing scene opening Boris Johnson bed prove spread disease planned advance.,fake
176,177,The WHO banned autopsies Italy changed protocols coronavirus.,fake
177,178,"???According CDC, far year, Florida 1,762 deaths COVID-19 5,185 pneumonia. Average pneumonia deaths Florida 2013-2018 time period 918.??�",fake
180,181,The underlying cause death vast majority death certificates mention COVID-19 coronavirus. https://t.co/Hg4O4AQZ3X,fake
183,184,#Florida smashes record new COVID-19 state single https://t.co/gqtofPbOAd,fake
185,186,The claim stated India's business conglomerate Tata Group Chairman Ratan Tata said it's time think profits think survival.,fake
186,187,We lowest mortality rates world COVID-19.,fake
188,189,"The remedy corona existed long time, 1934 Old malaria drug work symptoms. Made Holland",fake
189,190,Madrid enabled phone number 915038030 request prescriptions.,fake
190,191,Claim Govt providing money bereaved families COVID-19 victims false,fake
195,196,"@MarionKoopmans Dr Shi (en het Wuhan Institute Virology) deden mee aan dit onderzoek: Utilizing SARS-CoV infectious clone, generated characterized chimeric expressing spike bat SHC014 mouse adapted SARS-CoV backbone. https://t.co/QIH5zOYvty",fake
200,201,Previously claimed cow urine cures qnd actually believed it. https://t.co/XZny1GsLRx,fake
202,203,_Contact tracing apps secretly installed Android phone_,fake
203,204,Table compares deaths COVID-19 causes new harmless.,fake
205,206,Man Finds It Difficult To Eat When Wearing A Face Mask https://t.co/atfaqxvfjX #coronavirus #facemasks #covid19,fake
208,209,Claim Indian prime minister Modi said crore (ten million) COVID-19 patients treated free.,fake
211,212,"A video shows ""Bill Gates admits doubt kill 700,000 people""",fake
212,213,Cattle proofs existed years vaccine. Photo showing cattle produced American medical company ScourGuard 4KC.,fake
213,214,Man did pass WalMart Louisiana.,fake
215,216,The private began offering antibody tests detect COVID-19. At time Ministry Health said buy antigen tests.,fake
216,217,"The novel (2019-nCoV) ""will long"" Philippines warm climate.",fake
217,218,Lockdown forcing woman realise just bad diet https://t.co/fYtkbIlgjD https://t.co/HbbuhBEWXG,fake
219,220,"Future News� - �in post-Covid-19 world, Hollywood blockbuster movies expected earn $3000 ticket receipts!",fake
224,225,"30-year-old Indian textbook lists aspirin, anti-histamines nasal spray treatments COVID-19.",fake
226,227,If true..@mybmc /commissioner/Mayor responsible Recent 19 Grimming position..Sack corrupt Burecrats ..@CMOMaharashtra https://t.co/subVzx3kow,fake
228,229,"Man Reads 'The Purple Cloud' By M.P. Shiel, And Starts To Get A Bit Frightened https://t.co/yNmMbhHl8z #coronavirus #apocalypse #pandemic",fake
231,232,RT @factchecknet: In absence clarity rash #misinformation #COVID19 created breeding ground #prejudi…,fake
234,235,"The uncomfortable truth Donald Trump left America exposed vulnerable pandemic. He ignored warnings experts intelligence agencies trust China's leaders instead. Now, we're paying price. Let explain got here: https://t.co/esvCaGki9V",fake
236,237,"COVID-19 man according video ""Plandemic"".",fake
237,238,_A video purports police officer beaten viewed tens thousands times Facebook Twitter alongside claim assault temple India sparked officer's attempt enforce nationwide novel lockdown._,fake
239,240,"Bill Gates didn't say ""don't choice"" https://t.co/T0bbPhgPCF",fake
241,242,Kylie Minogue says breaks heart denied thousands joy seeing year’s Glastonbury Festival descend hellish mudbath https://t.co/7wPgWQDOQ2,fake
244,245,FIRST CITY IN THE WORLD CONQUERS COVID-19 WITH CHLORINE DIOXIDE. THIS GREAT NEWS HAS ALREADY BEEN SUPPRESSED BY THE DARK POWERS! https://t.co/5qMxMI4EU1,fake
245,246,"In middle global pandemic, Trump Administration working gut Affordable Care Act rip care away millions. It's morally reprehensible. They need drop lawsuit immediately. https://t.co/yc6azeqLVs",fake
249,250,Woman burned hands putting stove high alcohol content hand sanitiser,fake
252,253,"There Nipah Virus outbreak India amidst pandemic, according warning form WHO.",fake
254,255,"COVID-19 Hates Women Leaders, Loves Trump https://t.co/or9HJgBCP4 #donaldtrump #china #vladimirputin #women #angelamerkel #dictatorship",fake
255,256,"Trump Says He Will Nuke China If He Knows, For Sure, They Are Serving Bat Soup https://t.co/tNqmMKqpt2 #donaldtrump #china #coronavirus",fake
257,258,"@realDonaldTrump I, too, widow distinguished US military officer. Would affiliate w/ Biden-deep $ ties adversary CCP stuck US-launched bioweapon US soil. Biden w/ innocent US Americans' spilled blood hands. No military widow affiliate w/ Biden.",fake
258,259,French Astrologer Nostradamus predicted 1551 outbreak China 2020.,fake
262,263,Coronavirus victims buried morning Wednesday Italy. Rest peace.,fake
263,264,Some stopped electricity night time Dilsukhnagar (Hyderabad) scattered currency notes road spread coronavirus.,fake
265,266,COVID-19's fake.,fake
266,267,“Shands Hospital Gainesville Florida confirmed case coronavirus.”,fake
267,268,"Keep newborn 6 feet away possible. Discuss provider using physical barrier (for example, placing newborn incubator) hospital.",fake
270,271,Prince Andrew officiate grand reopening Woking Pizza Express https://t.co/2UowpdCcmY,fake
273,274,Strange coincidence worst affected Covid19 Latitude 40ํ : From left: France Italy Iran Wuhan S.Korea Japan Seattle Washington NewYork.,fake
276,277,Several media users shared picture cow leopard claimed taken Assam. This claim Misleading. The viral image Assam animals spent time Gujarat's Vadodara 2002. #COVID19 https://t.co/FdqSU8dSK1,fake
277,278,This Election Night chaotic. In addition coping unprecedented number mail ballots requires election provide clean socially distanced in-person voting grapple likely shortage election workers. https://t.co/ZTe3utWuFp,fake
278,279,COVID-19 self holidng breath mustard oil nose kill coronavirus.,fake
280,281,???When using medical you???re supposed use??? white (this filter part) you???re sick.??�,fake
281,282,Local badass washes hands 15 seconds #handwashing #CoronaLockdown https://t.co/pbWtYGBYYa https://t.co/2LJhHYcnpB,fake
282,283,CBS aired wrong video footage hospital.,fake
283,284,She’s just casually carrying body 1 hand..? Sure.. More evidence complete hoax props & street theater.,fake
285,286,A photo gone viral media shows military convoy transporting died COVID-19 Italy.,fake
287,288,Bill Gates predicted coronavirus.,fake
290,291,@hiraj13 @madhukishwar Luckily sir 95 % suffer course mild. You heal taking anything. For unlucky 5 % actually suffer severe ards catastrophic coronil help sure.,fake
291,292,A police officer Bihar's Hajipur jail affected coronavirus.,fake
294,295,Photo lying ground middle street allegedly China.,fake
296,297,Italy registered 4200 new recovering 24 hours.,fake
297,298,Dr VK srinivas vice president Bharat biotech taking clinical trial India developed team Bharat biotech.,fake
301,302,"#covid19 #coronavirus #coronaoutbreak £10 toilet roll!!! Robbing bastards , ashamed themselves!!! Canons Park newsagents!!! Disgusting #covid19UK #panicbuyers #londonlockdown #WereInThisTogether #ukcoronavirus https://t.co/q8YzoxlIA9",fake
306,307,"#covid19 #coronavirus #coronavirusupdate Wuhan locals claim killed 42,000 city alone, times national figure claimed Chinese authorities. https://t.co/K46oeZLUZf",fake
307,308,Dead bodies wrapped white cloths died COVID-19 Osmania Hospital city Hyderabad India.,fake
310,311,"200 new COVID-19 registered Lithuania. People ""cleansed bleach"" Vilnius international airport taken small tent-town nearby.",fake
312,313,Extraordinary times measures: Releasing COVID-19 Patients Curb Social Gatherings https://t.co/2lMmNybtOf #donaldtrump #coronavirus,fake
313,314,48 COVID-19 patients Jaamat Delhi's Sultanpuri area India.,fake
315,316,Videos clashes arose Paris new detected street-washing water.,fake
316,317,The new existed 2001.,fake
317,318,_An image claims chroma screen panels used make deaths._,fake
319,320,@carenkarpenter There big studies findings corresponding relationships vitamin D levels patients.,fake
320,321,Claim: India’s case growth peak early May reduce 0 May 16 said V.K. Paul COVID-19 Empowered Group 1 April 24. Fact: 53 countrywide #lockdown risen &gt;3000/day https://t.co/HZAmkZFIRk,fake
325,326,“A blessing sucks.” -ClickHole Anonymous (collaboration),fake
327,328,Squeezing hot lemon water cures corona infection.,fake
328,329,In #Hydrabad Hungry & Jobless Youth pour Petrol ...,fake
329,330,"_A meme claims Bill Gates ""expelled India leaving 47000 permanently disabled disabled children direct result polio vaccine.""_",fake
330,331,"???Putting national lockdown, stay-at-home orders, like house arrest. Other slavery, different kind restraint, greatest intrusion civil liberties American history.""",fake
332,333,Neighborhood signs asking medical staff home stay Spain.,fake
333,334,cocaine protect,fake
334,335,There Bovalino (Reggio Calabria Italy).,fake
335,336,"Cindy McCain appointed Joe Biden's transition team https://t.co/279bz7svNL No US Veteran's widow identify w/ Biden, deep corrupt ties CCP-adversary launched bioweapon/COVID19 American soil killing thousands, face down. https://t.co/xBV2bjXE3C",fake
336,337,"Herd Immunity Strategy ‘Unethical Unlikely Successful UK, warn scientists, Long Covid Sufferers recognition https://t.co/Nh40SnwizM",fake
337,338,"???Six ???plandemic,??? Bill Gates negotiated $100 billion contact tracing deal (the) Democratic congressman sponsor bill.??�",fake
338,339,If Chinese food simple cure gargle bleach.,fake
339,340,Man feels eye pain exactly 45 seconds reading it's symptom https://t.co/zoueoPWzpU https://t.co/GQBjZeO3kN,fake
343,344,Doctor operated took kidney patient,fake
345,346,"???The COVID-19 future come ID ??"" mark. The ID tells free COVID.??�",fake
346,347,Suggests Trump urged sick vote COVID-19,fake
347,348,"Herman Cain, one-time Republican presidential candidate, died colon cancer, COVID-19.",fake
351,352,_American scientists developed cure coronavirus._,fake
352,353,children taken away Covid parental consent UK Fake,fake
353,354,How wanna bet cure Coronavirus disease (COVID-19)? All I ask make sure I credit coming magical cure,fake
355,356,published website called inventiva.co.in claiming Prime Minister Narendra Modi likely announce Emergency India Article 360 — Financial Emergency.,fake
356,357,NEWS! Manchester United fans wondering global Coronavirus prevent Liverpool winning league https://t.co/7xCblPSAeI https://t.co/01L4Ry7flj,fake
358,359,According Civil Registry record number respiratory syndrome deaths decreased increased 2019 2020 Ceará Brazil. The time period considered March 16 May 10.,fake
363,364,Chinese President Xi Jinping urging Africans reject killed animals tested.,fake
364,365,"World Steam Week, According doctors, COVID-19 hit steam nose, corona eradicated. Everyone start steam campaign. To work direction, urge world start steam process 07 August 14 August, morning, afternoon evening. Just 5 minutes inhale steam. By adopting practice sure deadly COVID-19 erased, send message groups, relatives, friends neighbors kill beautiful HV run freely world. Thank you, Request sent",fake
366,367,"The CDC said ???made mistake??� reduced count Florida COVID-19 90,000 11,000.",fake
367,368,Bank America said funds programs assist communities color affected COVID-19. Areas focus include job training skill building retraining small business support housing assistance. https://t.co/PBI4F5W1Fl,fake
369,370,Trump Announces A Cure COVID-19 https://t.co/lpIQfBvXB8 #donaldtrump #coronavirus,fake
370,371,Video migrants overcrowded train Mumbai West Bengal 10 May 2020 amid COVID-19 restrictictions.,fake
378,379,I thought affects humans. https://t.co/AFLpRdGiwF,fake
384,385,Nation's moms form vigilante gang make sure cough checked https://t.co/rFgS6n0lum #ColdAndFlu #Winter #Coronavid19 https://t.co/m7JKPvx6Xo,fake
389,390,Muslims spreading leaving money strewn streets.,fake
393,394,"Harr Roz 600+ corona h ,Delhi Mai. Cm sir said "" Condition control best 4.0"" In today, Delhi open everything_ park , bazar We know ito jam, Delhi-noida border jam. 7000+ #arvindkejariwal",fake
395,396,Mass disinfection using chemical solution eradicate COVID-19 .,fake
396,397,Gargling salt water inhaling hot water cures COVID19.,fake
397,398,WHO declared COVID-19 endemic disease.,fake
398,399,President Trump Presented With Panda From Xi Jinping https://t.co/e76zg7V2zz #donaldtrump #china #coronavirus #mikepence #xijinping,fake
399,400,Bill Gates claims announces vaccinations mandatory all.,fake
401,402,???Hydroxychloroquine cures ???virus.??? It just happens treatment used radiation sickness!!??�,fake
402,403,"10 Million People contracted Tuberculosis year. 1.5 Million People DIED. Did know? Were scared life? Did wear masks, close economy, cancel schools, ruin small businesses? No. Why? Because media didn’t tell AFRAID!",fake
407,408,"???[U.S. Rep. Conor Lamb] said NOT vote [Nancy Pelosi] Speaker, did.??�",fake
408,409,Sweden Be Extradited United States Violating American COVID-19 Guidelines https://t.co/ONjdLtmKaw #coronavirus #covid19 #sweden,fake
413,414,Early action trust reasons Vermont’s low numbers cases. https://t.co/lQzAsc6gSG,fake
415,416,COVID-19 patinet Kanpur India left outside hopsital treatment.,fake
417,418,@DM_Mayurbhanj My father 4 days. He home isolation. He taking Paracetamol 500 Azithromycin 500 Bullford Widcef 500 Vit b complex Zinc sulphate tablets dont know did fabipiravir fabiflu stop multiplication virus.,fake
425,426,“OSHA says don't work” reduce COVID-19 transmission “and violate OSHA oxygen levels.”,fake
426,427,President Donald Trump got Moroccan sheikh (Muslim priest) spell prevents COVID-19.,fake
428,429,RT @PolitiFactWisc: ICMYI: We fact-checked President Trump's Oshkosh speech digging claims COVID-19 numbers farmers manufacturin…,fake
430,431,The WHO declared COVID-19 abbreviation China Outbreak Virus December 2019.,fake
434,435,Multiple Facebook Twitter posts shared thousands times Australian media users claim pre-existing respiratory conditions given “rescue pack” medication general practitioners novel pandemic.,fake
435,436,"Herd Immunity Strategy ‘Unethical Unlikely Successful UK, warn scientists, Long Covid Sufferers recognition https://t.co/E9qJhAIeg2",fake
442,443,In India Congress President’s approval required use funds PMNRF.,fake
443,444,NEWS! Flabby looking forward getting gym https://t.co/7j5d8vgKY5 https://t.co/gswx1F79YG,fake
446,447,These pictures Dr V.K Srinivas Bharat Biotech taking & second doses vaccine.,fake
447,448,???People going door door Colorado Springs stating rob people!!!!??�,fake
448,449,The number COVID-19 rose Tokyo longer need refrain postponement Olympics.,fake
449,450,"@MarcScott This shut good just 3 EVERYONE just used masks, distanced, avoided mass gathering! Just 3 stop spreading. Sadly there's just morons don't work!!!",fake
452,453,"Another figure TIME 100 list. Shi Zhengli, aka ""Bat Woman,"" Wuhan Institute Virology. https://t.co/9zD8wTZcl5",fake
455,456,A quote Alberto Zangrillo saying Covid-19 consequence immigration.,fake
457,458,President Trump said 99% COVID-19 totally harmless. There’s lot learned says it’s harmless 99% touches. https://t.co/rnqVXpEZEx https://t.co/9hqhnM2qY2,fake
458,459,Bill Gates ready (against covic-19 ed.) And here's patent.,fake
459,460,_Cuba developed vaccine._,fake
460,461,@susan_lemon @commondefense @BernieSanders omg...are frigging kidding me...just like Trump knowing deadly was....same goes police night...they said knocked...it words distraught boyfriend,fake
461,462,COVID-19 exposure notification Google & Apple sensor inserted trace phone.,fake
462,463,Man Considering Going Into Marble Production https://t.co/mveLKfXvc2 #coronavirus #madness #insanity #lockdown,fake
463,464,Indian Home Minister Amit Shah said transferred financial aid Rs 530 million bank accounts 410 million means Rs 1.29 person.,fake
465,466,You re-infected COVID-19 eat sugar drink cold water shower night,fake
466,467,Florida Gov. Ron DeSantis said kids major vector spreading COVID-19. Studies high schoolers like adults young children present lower risk. But findings overseas apply U.S. states rising cases. https://t.co/hDLIVdcaKw,fake
467,468,"Millions app users' send 3900 photo's 8 different type rashes, they're Covid19 symptom https://t.co/cUxedqBcnp",fake
469,470,@geoallison Today's figures. A recent BMJ review used False Positive rate 5%. Public Health England came slightly 2%. A German study false rates rose 1.4% 2.2%-7.6% Hcov present (alpha betacoronaviruses) https://t.co/bIW6oNiynW,fake
470,471,The United States America threatened Iraq 1990.,fake
471,472,@tree777hugs @Qclues_o7 @paulamjohns Lucky grapefruit doesn’t make quinine. Hydtoxychloroquine different chemical. You’re getting any. Both somewhat effective anti-malarial treatments effects. They effect SARS-CoV-2 causes Covid-19. https://t.co/BReq86XJu2,fake
472,473,High temperatures kill novel virus.,fake
473,474,Coronas Virus Must Be Stopped Confirm Irish Music Fans https://t.co/jdlypdQUOf,fake
475,476,Lockdown Hindus. @KapilMishra_IND @beingarun28 @sambitswaraj @sudhirchaudhary @AmitShah @narendramodi,fake
476,477,Video People Italy offering Namaz streets COVID-19.,fake
477,478,France forces patients dual nationality leave hospitals able treat French COVID-19 outbreak.,fake
478,479,A video dead bodies black bags allegedly hospitals Madrid Barcelona New York.,fake
480,481,_A video viewed thousands times multiple posts Facebook Twitter YouTube May 2020 alongside claim shows crows ???coming Texas??� ???attacking Wuhan China??�. The posts shared countries worldwide continue fight spread novel detected Wuhan December 2019._,fake
482,483,The COVID-19 planned preparedness exercise called Event 201 predicted it.,fake
483,484,A says 3/22/20 793 died Italy included 232 kids.,fake
485,486,“The Democrats pushing implanted microchip humans vaccinated.”,fake
486,487,"era, India surpassed countries terms GDP.",fake
487,488,We're LIVE talking COVID-19 (a transmission) @drsanjaygupta. Join ask questions own: https://t.co/e16G2RGdkA https://t.co/Js7lemT1Z6,fake
489,490,All India lock increased till 4th may...,fake
490,491,"#covid19 #coronavirus #coronaoutbreak China TV “Expert” : “The US pushed quickly, means working way pandemic.” Host: “So conclude US possession long ago https://t.co/vBNqC1UnLV",fake
491,492,President Trump Says That He Does Not Take Any Responsibility 2nd Wave The Coronavirus Pandemic https://t.co/S2KDfnGHXS,fake
492,493,New Symptom: Severe Hunger For Bats? https://t.co/lETILi6Ahy #china #coronavirus #fastfood #pandemic #cdc #bats,fake
493,494,Coronavirus v. Trump: Has Virus Met Its Match? https://t.co/ODt9Q4jalD #donaldtrump #coronavirus,fake
494,495,Models projecting COVID-19 deaths ???are talking mitigation.??�,fake
496,497,WHO approved home remedy pepper ginger juice honey cure COVID-19.,fake
497,498,"This old label bottle disinfectant 2015 shows ""coronavirus“.",fake
498,499,Irish Lads On Quarantined Coronavirus Cruise Having ‘Absolute Mad One’ https://t.co/VITzCsat9m,fake
501,502,Former Colombian president current senator Álvaro Uribe COVID-19,fake
502,503,???MSNBC actually said air ???I hope die harms Trump???s re-election.?????�,fake
503,504,"Report: Outbreak idiocy spreading 10,000 times faster #CoronaOutbreak #COVID19 https://t.co/YapqKVDNCj https://t.co/nXBFFDChBj",fake
504,505,Trump claims Speaker Nancy Pelosi deleted tweet visit Chinatown February,fake
506,507,"NYC man drops dead middle street — suspected coronavirus!” China recognizes Palestinian discoverer According Brazilian Civil Registry deaths 2019 2020 considering semester only. Telangana Chief Minister treated COVID-19 Yashoda Hospitals Migrant worker caught venturing night robbing lockdown. Minister Presidency Bolivia Yerko Nuñez said: Government use savings Bolivian State care Bolivians. The WHO “was bad test.” After COVID-19 outbreak europe Muslims non-Muslims come streets shouting praises Allah reading Kalma. Japanese experts warn ""young likely die infected"". Drinking warm water continuously prevent COVID-19. This Saudi Arabia discussing forbidding Ramadan fast supposed start late April. A female Uttar Pradesh died injured stone pelting local Muslims refused screened COVID-19. Donald Trump announced capable curing new hours. Georgia Gov. Brian Kemp “mandates restaurants reopen”. As outbreak surges PM Narendra Modi decided facilitate fellow countrymen free ‘Swacch Bharat’ scheme. “We slow quick travel ban. And that's critical saving lives.” Ugandan landlords asked stop collecting rent citizens stay home fight COVID-19. The WHO's general director stepped said measure fight coronavirus. Migrant labourers killing Delhi lockdown. People India forbidden updates COVID-19. This self-check coronavirus. ""'Akira’ 1988 movie apocalyptic event taking place Tokyo 2020 Olympics showing WHO advising Japan postpone Olympics risk.",fake
508,509,NEWS! Coronavirus crisis Italy leads Donald Trump close US Pizzerias https://t.co/5WFtdhuYbG https://t.co/UB91K7Pyf5,fake
509,510,COVID-19 patient zero sex bats...,fake
510,511,Local Man Appoints Himself World’s Foremost Expert On Coronavirus https://t.co/ivHU3m1QNp,fake
511,512,CDC does recommend wearing masks.,fake
512,513,COVID-19 listed cause death did illness died Ireland.,fake
